Time, Difficulty, EventType, Latency, Score, TargetVesselTypescore, TargetIsPortStarboardscore, TargetIsBowBeamSternscore, TargetRangescore, TargetBearingscore, TargetAnglescore, TargetBearingDriftscore, TargetCPARangescore, TargetCPAIsPortStarboardscore, TargetCPAIsBowBeamSternscore, TargetCPATimescore, RuleTypescore, StandOnGiveWayscore, Actionscore, Degreesscore, Speedscore, TargetVesselTypechosen, TargetVesselTypecorrect, TargetIsPortStarboardchosen, TargetIsPortStarboardcorrect, TargetIsBowBeamSternchosen, TargetIsBowBeamSterncorrect, TargetRangechosen, TargetRangecorrect, TargetBearingchosen, TargetBearingcorrect, TargetAnglechosen, TargetAnglecorrect, TargetBearingDriftchosen, TargetBearingDriftcorrect, TargetCPARangechosen, TargetCPARangecorrect, TargetCPAIsPortStarboardchosen, TargetCPAIsPortStarboardcorrect, TargetCPAIsBowBeamSternchosen, TargetCPAIsBowBeamSterncorrect, TargetCPATimechosen, TargetCPATimecorrect, RuleTypechosen, RuleTypecorrect, StandOnGiveWaychosen, StandOnGiveWaycorrect, Actionchosen, Actioncorrect, Degreeschosen, Degreescorrect, Speedchosen, Speedcorrect, ,
15.3,0.21, Answer,0,10,0,2,2,0,0,0,0,0,5,0,0,0,0,0,1,0, Warship, TugWithTow, Port, Port, Bow, Bow,5000,7655,180,359,180,0, has strong left, is CBDR,5000,0, Port, Port, Bow, Beam,6,9, Crossing, Head On, Stand on, Giveway, hold course and speed, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
53.3,0.23, Answer,0,56.7,2,2,2,2,0,0,0,0,5,5,1.7,15,2,19,1,0, Merchant, Merchant, Stbd, Stbd, Bow, Bow,7800,7855,180,25,180,325, has strong left, is CBDR,5000,0, Stbd, Stbd, Quarter, Quarter,6,8, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 20 deg, 20 deg, hold speed, hold speed, , 
77,0.25, Answer,0,42.7,2,0,2,0,0,0,0,0,0,0,1.7,15,2,19,1,0, Merchant, Merchant, Port, Stbd, Bow, Bow,5000,3605,180,0,0,179, has strong left, is CBDR,5000,3, Port, Stbd, Bow, Beam,6,8, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
107.5,0.29, Answer,0,75.7,2,0,2,0,3,20,0,0,5,5,1.7,15,2,19,1,0, TugWithTow, TugWithTow, Port, Stbd, Bow, Bow,5000,7637,0,0,360,358, has strong left, is CBDR,5000,0, Port, Port, Beam, Beam,6,8, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
130.1,0.31, Answer,0,43.7,2,0,0,0,3,0,0,0,0,0,1.7,15,2,19,1,0, Merchant, Merchant, Port, Stbd, Bow, Stern,5000,1221,180,179,180,359, has strong left, is CBDR,5000,61, Port, Stbd, Bow, Beam,6,8, Overtaking, Overtaking, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
150.9,0.34, Answer,0,50.7,2,2,0,0,3,0,0,0,5,0,1.7,15,2,19,1,0, CruiseShip, CruiseShip, Port, Port, Bow, Stern,5000,642,180,180,180,0, has strong left, is CBDR,5000,24, Port, Port, Bow, Beam,6,8, Overtaking, Overtaking, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
204.9,0.38, Answer,0,74,2,0,0,0,3,20,0,0,5,5,2,15,2,19,1,0, Grand Princess_63, Grand Princess_63, Port, Stbd, Bow, Stern,5000,745,180,179,360,359, has strong left, is CBDR,5000,40, Stbd, Stbd, Beam, Beam,6,7, Overtaking, Overtaking, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
260.3,0.41, Answer,0,71,2,0,0,0,3,20,18,0,5,5,2,15,0,0,1,0, Smit Houston_121, Smit Houston_121, Port, Stbd, Bow, Stern,5000,511,180,179,360,358, is CBDR, is CBDR,5000,73, Stbd, Stbd, Beam, Beam,8,7, Overtaking, Overtaking, Giveway, Stand on, turn to starboard, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
598.7,0.56, Answer,0,96,0,2,2,2,3,20,18,0,5,5,2,15,2,19,1,0, Tractor Tug 50_249, Tractor Tug 50_273, Port, Port, Stern, Stern,200,572,180,180,0,0, is CBDR, is CBDR,5000,16, Port, Port, Beam, Beam,6,7, Overtaking, Overtaking, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
626.1,0.61, Answer,0,96,0,2,2,2,3,20,18,0,5,5,2,15,2,19,1,0, Tractor Tug 50_249, Tractor Tug 50_273, Port, Port, Stern, Stern,200,532,180,180,0,0, is CBDR, is CBDR,5000,16, Port, Port, Beam, Beam,6,6, Overtaking, Overtaking, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
