Time, Difficulty, EventType, Latency, Score, TargetVesselTypescore, TargetIsPortStarboardscore, TargetIsBowBeamSternscore, TargetRangescore, TargetBearingscore, TargetAnglescore, TargetBearingDriftscore, TargetCPARangescore, TargetCPAIsPortStarboardscore, TargetCPAIsBowBeamSternscore, TargetCPATimescore, RuleTypescore, StandOnGiveWayscore, Actionscore, Degreesscore, Speedscore, TargetVesselTypechosen, TargetVesselTypecorrect, TargetIsPortStarboardchosen, TargetIsPortStarboardcorrect, TargetIsBowBeamSternchosen, TargetIsBowBeamSterncorrect, TargetRangechosen, TargetRangecorrect, TargetBearingchosen, TargetBearingcorrect, TargetAnglechosen, TargetAnglecorrect, TargetBearingDriftchosen, TargetBearingDriftcorrect, TargetCPARangechosen, TargetCPARangecorrect, TargetCPAIsPortStarboardchosen, TargetCPAIsPortStarboardcorrect, TargetCPAIsBowBeamSternchosen, TargetCPAIsBowBeamSterncorrect, TargetCPATimechosen, TargetCPATimecorrect, RuleTypechosen, RuleTypecorrect, StandOnGiveWaychosen, StandOnGiveWaycorrect, Actionchosen, Actioncorrect, Degreeschosen, Degreescorrect, Speedchosen, Speedcorrect, ,
14,0.21, Answer,0,11.7,0,2,2,0,0,0,0,0,5,0,1.7,0,0,0,1,0, Warship, TugWithTow, Port, Port, Bow, Bow,5000,7673,180,359,180,0, has strong left, is CBDR,5000,0, Port, Port, Bow, Beam,11,9, Crossing, Head On, Stand on, Giveway, hold course and speed, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
37.6,0.23, Answer,0,41,2,0,2,0,0,0,0,0,0,0,0,15,2,19,1,0, Merchant, Merchant, Port, Stbd, Bow, Bow,5000,8069,180,25,180,325, has strong left, is CBDR,5000,0, Port, Stbd, Bow, Quarter,12,9, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 20 deg, 20 deg, hold speed, hold speed, , 
64.7,0.26, Answer,0,63,2,0,2,0,0,20,0,0,0,0,2,15,2,19,1,0, Merchant, Merchant, Port, Stbd, Bow, Bow,5000,3587,180,0,180,179, has strong left, is CBDR,5000,3, Port, Stbd, Bow, Beam,9,8, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
81,0.28, Answer,0,47.7,2,0,2,0,0,0,0,0,5,0,1.7,15,2,19,1,0, TugWithTow, TugWithTow, Port, Stbd, Bow, Bow,5000,7820,180,0,180,358, has strong left, is CBDR,5000,0, Port, Port, Bow, Beam,6,8, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
103.4,0.3, Answer,0,43.7,2,0,0,0,3,0,0,0,0,0,1.7,15,2,19,1,0, Merchant, Merchant, Port, Stbd, Bow, Stern,5000,1226,180,179,180,359, has strong left, is CBDR,5000,62, Port, Stbd, Bow, Beam,6,8, Overtaking, Overtaking, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
122.8,0.33, Answer,0,50.7,2,2,0,0,3,0,0,0,5,0,1.7,15,2,19,1,0, CruiseShip, CruiseShip, Port, Port, Bow, Stern,5000,646,180,180,180,0, has strong left, is CBDR,5000,25, Port, Port, Bow, Beam,6,8, Overtaking, Overtaking, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
147.1,0.37, Answer,0,89,2,2,0,0,3,20,18,0,5,0,2,15,2,19,1,0, CruiseShip, CruiseShip, Port, Port, Bow, Stern,5000,1003,180,180,0,0, is CBDR, is CBDR,5000,51, Port, Port, Bow, Beam,8,8, Overtaking, Overtaking, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
204.8,0.41, Answer,0,83,0,2,2,2,3,17,18,0,0,0,2,15,2,19,1,0, Yavuz_62, Yavuz_71, Port, Port, Bow, Bow,5000,4920,336,333,70,64, is CBDR, is CBDR,5000,0, Port, Stbd, Bow, Broad,8,7, Crossing, Crossing, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
297.9,0.45, Answer,0,65.4,2,0,2,1.7,3,0,18,0,0,0,1.7,15,2,19,1,0, Smit Houston_133, Smit Houston_133, Port, Stbd, Bow, Bow,7100,6470,13,12,353,341, is CBDR, is CBDR,5000,0, Port, Stbd, Bow, Beam,8,6, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 10 deg, 10 deg, hold speed, hold speed, , 
178.3,0.51, Answer,0,94,2,0,0,2,3,20,18,0,5,5,2,15,2,19,1,0, APLB_81, APLB_81, Port, Stbd, Bow, Stern,900,598,180,179,360,359, is CBDR, is CBDR,5000,42, Stbd, Stbd, Beam, Beam,8,7, Overtaking, Overtaking, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
