Time, Difficulty, EventType, Latency, Score, TargetVesselTypescore, TargetIsPortStarboardscore, TargetIsBowBeamSternscore, TargetRangescore, TargetBearingscore, TargetAnglescore, TargetBearingDriftscore, TargetCPARangescore, TargetCPAIsPortStarboardscore, TargetCPAIsBowBeamSternscore, TargetCPATimescore, RuleTypescore, StandOnGiveWayscore, Actionscore, Degreesscore, Speedscore, TargetVesselTypechosen, TargetVesselTypecorrect, TargetIsPortStarboardchosen, TargetIsPortStarboardcorrect, TargetIsBowBeamSternchosen, TargetIsBowBeamSterncorrect, TargetRangechosen, TargetRangecorrect, TargetBearingchosen, TargetBearingcorrect, TargetAnglechosen, TargetAnglecorrect, TargetBearingDriftchosen, TargetBearingDriftcorrect, TargetCPARangechosen, TargetCPARangecorrect, TargetCPAIsPortStarboardchosen, TargetCPAIsPortStarboardcorrect, TargetCPAIsBowBeamSternchosen, TargetCPAIsBowBeamSterncorrect, TargetCPATimechosen, TargetCPATimecorrect, RuleTypechosen, RuleTypecorrect, StandOnGiveWaychosen, StandOnGiveWaycorrect, Actionchosen, Actioncorrect, Degreeschosen, Degreescorrect, Speedchosen, Speedcorrect, ,
10.9,0.21, Answer,0,10,0,2,2,0,0,0,0,0,5,0,0,0,0,0,1,0, Warship, TugWithTow, Port, Port, Bow, Bow,5000,7716,180,359,180,0, has strong left, is CBDR,5000,0, Port, Port, Bow, Beam,12,9, Crossing, Head On, Stand on, Giveway, hold course and speed, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
30.5,0.24, Answer,0,61,2,0,2,0,0,0,18,0,0,0,2,15,2,19,1,0, Merchant, Merchant, Port, Stbd, Bow, Bow,5000,8132,180,25,180,325, is CBDR, is CBDR,5000,0, Port, Stbd, Bow, Quarter,9,9, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 20 deg, 20 deg, hold speed, hold speed, , 
61,0.27, Answer,0,68,2,2,2,0,3,20,0,0,0,0,2,15,2,19,1,0, Merchant, Merchant, Stbd, Stbd, Bow, Bow,5000,3546,0,0,180,179, has strong left, is CBDR,5000,3, Port, Stbd, Bow, Beam,9,8, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
88.7,0.29, Answer,0,49,2,2,2,0,0,0,18,0,5,0,2,15,2,0,1,0, TugWithTow, TugWithTow, Stbd, Stbd, Bow, Bow,5000,7599,180,0,180,358, is CBDR, is CBDR,5000,0, Port, Port, Bow, Beam,9,8, Head On, Head On, Giveway, Giveway, hold course and speed, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
121.5,0.34, Answer,0,82,2,0,0,0,3,20,18,0,0,0,2,15,2,19,1,0, Merchant, Merchant, Port, Stbd, Bow, Stern,5000,1192,180,179,360,359, is CBDR, is CBDR,5000,61, Port, Stbd, Bow, Beam,8,8, Overtaking, Overtaking, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
150.5,0.37, Answer,0,71,2,2,0,0,3,20,0,0,5,0,2,15,2,19,1,0, Grand Princess_57, Grand Princess_57, Port, Port, Bow, Stern,5000,844,180,180,0,0, has strong left, is CBDR,5000,21, Port, Port, Bow, Beam,8,8, Overtaking, Overtaking, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
195.4,0.39, Answer,0,48,0,2,0,0,3,20,0,0,5,0,2,15,0,0,1,0, Pusher Pup_107, Pusher Pup_115, Port, Port, Bow, Stern,5000,468,180,180,0,0, has strong left, is CBDR,5000,10, Port, Port, Bow, Beam,8,7, Overtaking, Overtaking, Giveway, In Extermis, turn to starboard, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
270.7,0.44, Answer,0,84,0,0,2,2,3,20,18,0,0,0,2,15,2,19,1,0, Smit Houston_164, Smit Houston_175, Port, Stbd, Bow, Bow,5000,4868,27,31,301,300, is CBDR, is CBDR,5000,0, Port, Stbd, Bow, Quarter,8,7, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 30 deg, 30 deg, hold speed, hold speed, , 
343.1,0.47, Answer,0,65.55,0,2,2,0,2.55,20,0,0,0,0,2,15,2,19,1,0, HOS Brigadoon_214, HOS Brigadoon_237, Port, Port, Bow, Bow,5000,6861,360,352,13,11, has strong left, is CBDR,5000,0, Port, Stbd, Bow, Beam,8,7, Crossing, Crossing, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
383.7,0.51, Answer,0,84,0,0,2,2,3,20,18,0,0,0,2,15,2,19,1,0, Yavuz_282, Yavuz_303, Port, Stbd, Bow, Bow,3300,3143,0,0,180,179, is CBDR, is CBDR,5000,7, Port, Stbd, Bow, Beam,8,7, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
