Time, Difficulty, EventType, Latency, Score, TargetVesselTypescore, TargetIsPortStarboardscore, TargetIsBowBeamSternscore, TargetRangescore, TargetBearingscore, TargetAnglescore, TargetBearingDriftscore, TargetCPARangescore, TargetCPAIsPortStarboardscore, TargetCPAIsBowBeamSternscore, TargetCPATimescore, RuleTypescore, StandOnGiveWayscore, Actionscore, Degreesscore, Speedscore, TargetVesselTypechosen, TargetVesselTypecorrect, TargetIsPortStarboardchosen, TargetIsPortStarboardcorrect, TargetIsBowBeamSternchosen, TargetIsBowBeamSterncorrect, TargetRangechosen, TargetRangecorrect, TargetBearingchosen, TargetBearingcorrect, TargetAnglechosen, TargetAnglecorrect, TargetBearingDriftchosen, TargetBearingDriftcorrect, TargetCPARangechosen, TargetCPARangecorrect, TargetCPAIsPortStarboardchosen, TargetCPAIsPortStarboardcorrect, TargetCPAIsBowBeamSternchosen, TargetCPAIsBowBeamSterncorrect, TargetCPATimechosen, TargetCPATimecorrect, RuleTypechosen, RuleTypecorrect, StandOnGiveWaychosen, StandOnGiveWaycorrect, Actionchosen, Actioncorrect, Degreeschosen, Degreescorrect, Speedchosen, Speedcorrect, ,
33.6,0.23, Answer,0,68,2,2,2,0,0,0,18,0,5,0,2,15,2,19,1,0, TugWithTow, TugWithTow, Port, Port, Bow, Bow,5000,7445,180,359,180,0, is CBDR, is CBDR,5000,0, Port, Port, Bow, Beam,9,9, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
53.8,0.27, Answer,0,81,2,0,2,0,0,20,18,0,0,0,2,15,2,19,1,0, Merchant, Merchant, Port, Stbd, Bow, Bow,5000,7990,180,25,323,325, is CBDR, is CBDR,5000,0, Port, Stbd, Bow, Quarter,9,9, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 20 deg, 20 deg, hold speed, hold speed, , 
87.8,0.31, Answer,0,73,2,2,2,0,3,20,0,0,5,0,2,15,2,19,1,0, Merchant, Merchant, Port, Port, Bow, Bow,5000,3500,360,359,180,180, has strong left, is CBDR,5000,19, Port, Port, Bow, Beam,9,8, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
116.7,0.35, Answer,0,71,2,2,2,0,3,20,0,0,5,0,0,15,2,19,1,0, TugWithTow, TugWithTow, Port, Port, Bow, Bow,5000,3340,360,359,180,180, has strong left, is CBDR,5000,12, Port, Port, Bow, Beam,12,8, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
184.8,0.37, Answer,0,43,2,0,2,0,0,0,0,0,0,0,2,15,2,19,1,0, MV Serius Star_51, MV Serius Star_51, Port, Stbd, Bow, Bow,5000,7120,180,20,180,332, has strong left, is CBDR,5000,0, Port, Stbd, Bow, Quarter,8,7, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 20 deg, 20 deg, hold speed, hold speed, , 
274,0.41, Answer,0,86,2,2,2,0,3,20,18,0,0,0,2,15,2,19,1,0, TurboCat_109, TurboCat_109, Port, Port, Bow, Bow,7300,11757,360,357,0,1, is CBDR, is CBDR,5000,0, Port, Stbd, Bow, Beam,8,7, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
417.1,0.43, Answer,0,46,0,0,2,2,3,0,0,0,0,0,2,15,2,19,1,0, Tractor Tug 50_159, Tractor Tug 50_171, Port, Stbd, Bow, Bow,5000,4771,7,4,360,347, has strong left, is CBDR,5000,0, Port, Stbd, Bow, Beam,6,6, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
507.6,0.47, Answer,0,63.7,0,0,2,0,3,20,0,0,0,0,1.7,15,2,19,1,0, Grand Princess_211, Grand Princess_235, Port, Stbd, Bow, Bow,5000,2696,0,0,180,179, has strong left, is CBDR,5000,1, Port, Stbd, Bow, Beam,8,6, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
129.6,0.34, Answer,0,74.7,2,2,2,1.7,3,20,0,0,5,0,2,15,2,19,1,0, TugWithTow, TugWithTow, Port, Port, Bow, Bow,7500,8256,360,358,0,2, has strong left, is CBDR,5000,0, Port, Port, Bow, Beam,8,8, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
178.3,0.39, Answer,0,94,2,0,0,2,3,20,18,0,5,5,2,15,2,19,1,0, APLB_81, APLB_81, Port, Stbd, Bow, Stern,900,598,180,179,360,359, is CBDR, is CBDR,5000,42, Stbd, Stbd, Beam, Beam,8,7, Overtaking, Overtaking, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
