Time, Difficulty, EventType, Latency, Score, TargetVesselTypescore, TargetIsPortStarboardscore, TargetIsBowBeamSternscore, TargetRangescore, TargetBearingscore, TargetAnglescore, TargetBearingDriftscore, TargetCPARangescore, TargetCPAIsPortStarboardscore, TargetCPAIsBowBeamSternscore, TargetCPATimescore, RuleTypescore, StandOnGiveWayscore, Actionscore, Degreesscore, Speedscore, TargetVesselTypechosen, TargetVesselTypecorrect, TargetIsPortStarboardchosen, TargetIsPortStarboardcorrect, TargetIsBowBeamSternchosen, TargetIsBowBeamSterncorrect, TargetRangechosen, TargetRangecorrect, TargetBearingchosen, TargetBearingcorrect, TargetAnglechosen, TargetAnglecorrect, TargetBearingDriftchosen, TargetBearingDriftcorrect, TargetCPARangechosen, TargetCPARangecorrect, TargetCPAIsPortStarboardchosen, TargetCPAIsPortStarboardcorrect, TargetCPAIsBowBeamSternchosen, TargetCPAIsBowBeamSterncorrect, TargetCPATimechosen, TargetCPATimecorrect, RuleTypechosen, RuleTypecorrect, StandOnGiveWaychosen, StandOnGiveWaycorrect, Actionchosen, Actioncorrect, Degreeschosen, Degreescorrect, Speedchosen, Speedcorrect, ,
27.8,0.22, Answer,0,48,2,2,2,0,0,0,0,0,5,0,0,15,2,19,1,0, TugWithTow, TugWithTow, Port, Port, Bow, Bow,5000,7558,180,359,180,0, has strong left, is CBDR,5000,0, Port, Port, Bow, Beam,6,9, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
57.4,0.26, Answer,0,72.7,2,0,2,0,0,20,0,0,5,5,1.7,15,2,19,1,0, Merchant, Merchant, Port, Stbd, Bow, Bow,5000,7964,13,25,321,325, has strong left, is CBDR,5000,0, Stbd, Stbd, Quarter, Quarter,6,8, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 20 deg, 20 deg, hold speed, hold speed, , 
90.3,0.3, Answer,0,69.7,2,2,2,0,0,20,0,0,5,0,1.7,15,2,19,1,0, Merchant, Merchant, Port, Port, Bow, Bow,5000,3595,180,359,180,180, has strong left, is CBDR,5000,19, Port, Port, Bow, Beam,6,8, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
133.1,0.33, Answer,0,71.7,2,2,2,0,3,20,18,0,5,0,1.7,15,2,0,1,0, TugWithTow, TugWithTow, Port, Port, Bow, Bow,2000,3330,360,359,180,180, is CBDR, is CBDR,5000,12, Port, Port, Bow, Beam,6,8, Overtaking, Overtaking, Giveway, Giveway, hold course and speed, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
192.3,0.36, Answer,0,63.7,0,0,2,0,3,20,0,0,0,0,1.7,15,2,19,1,0, MV Serius Star_30, MV Serius Star_51, Port, Stbd, Bow, Bow,5000,7536,21,20,333,332, has strong left, is CBDR,5000,0, Port, Stbd, Bow, Quarter,6,8, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 20 deg, 20 deg, hold speed, hold speed, , 
256.3,0.38, Answer,0,43,0,2,2,0,0,0,0,0,0,0,2,15,2,19,1,0, MV Serius Star_91, TurboCat_109, Port, Port, Bow, Bow,5000,12760,180,357,180,1, has strong left, is CBDR,5000,0, Port, Stbd, Bow, Beam,6,7, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
302.1,0.42, Answer,0,65.7,0,0,2,1.7,3,20,0,0,0,0,2,15,2,19,1,0, Tractor Tug 50_164, Tractor Tug 50_169, Port, Stbd, Bow, Bow,5000,5528,13,18,310,308, has strong left, is CBDR,5000,0, Port, Stbd, Bow, Beam,6,7, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 10 deg, 10 deg, hold speed, hold speed, , 
378.6,0.47, Answer,0,96,0,2,2,2,3,20,18,0,5,5,2,15,2,19,1,0, Yavuz_209, APLB_231, Port, Port, Bow, Bow,8000,8401,360,358,0,1, is CBDR, is CBDR,5000,1, Port, Port, Beam, Beam,6,7, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
398,0.51, Answer,0,96,0,2,2,2,3,20,18,0,5,5,2,15,2,19,1,0, Yavuz_209, APLB_231, Port, Port, Bow, Bow,8000,8003,360,358,0,1, is CBDR, is CBDR,5000,1, Port, Port, Beam, Beam,6,6, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
626.1,0.61, Answer,0,96,0,2,2,2,3,20,18,0,5,5,2,15,2,19,1,0, Tractor Tug 50_249, Tractor Tug 50_273, Port, Port, Stern, Stern,200,532,180,180,0,0, is CBDR, is CBDR,5000,16, Port, Port, Beam, Beam,6,6, Overtaking, Overtaking, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
