Time, Difficulty, EventType, Latency, Score, TargetVesselTypescore, TargetIsPortStarboardscore, TargetIsBowBeamSternscore, TargetRangescore, TargetBearingscore, TargetAnglescore, TargetBearingDriftscore, TargetCPARangescore, TargetCPAIsPortStarboardscore, TargetCPAIsBowBeamSternscore, TargetCPATimescore, RuleTypescore, StandOnGiveWayscore, Actionscore, Degreesscore, Speedscore, TargetVesselTypechosen, TargetVesselTypecorrect, TargetIsPortStarboardchosen, TargetIsPortStarboardcorrect, TargetIsBowBeamSternchosen, TargetIsBowBeamSterncorrect, TargetRangechosen, TargetRangecorrect, TargetBearingchosen, TargetBearingcorrect, TargetAnglechosen, TargetAnglecorrect, TargetBearingDriftchosen, TargetBearingDriftcorrect, TargetCPARangechosen, TargetCPARangecorrect, TargetCPAIsPortStarboardchosen, TargetCPAIsPortStarboardcorrect, TargetCPAIsBowBeamSternchosen, TargetCPAIsBowBeamSterncorrect, TargetCPATimechosen, TargetCPATimecorrect, RuleTypechosen, RuleTypecorrect, StandOnGiveWaychosen, StandOnGiveWaycorrect, Actionchosen, Actioncorrect, Degreeschosen, Degreescorrect, Speedchosen, Speedcorrect, ,
28.5,0.22, Answer,0,48,2,2,2,0,0,0,0,0,5,0,0,15,2,19,1,0, TugWithTow, TugWithTow, Port, Port, Bow, Bow,5000,7542,180,359,180,0, has strong left, is CBDR,5000,0, Port, Port, Bow, Beam,6,9, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
55.9,0.26, Answer,0,62.7,2,0,2,0,0,20,0,0,0,0,1.7,15,2,19,1,0, Merchant, Merchant, Port, Stbd, Bow, Bow,5000,7985,180,25,327,325, has strong left, is CBDR,5000,0, Port, Stbd, Bow, Quarter,6,8, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 20 deg, 20 deg, hold speed, hold speed, , 
93.2,0.29, Answer,0,77.7,2,2,2,0,3,20,0,0,5,5,1.7,15,2,19,1,0, Merchant, Merchant, Port, Port, Bow, Bow,5000,3543,360,359,184,180, has strong left, is CBDR,5000,19, Port, Port, Beam, Beam,6,8, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
121.3,0.33, Answer,0,72.7,2,2,2,0,3,20,0,0,5,0,1.7,15,2,19,1,0, TugWithTow, TugWithTow, Port, Port, Bow, Bow,5000,3419,360,359,180,180, has strong left, is CBDR,5000,12, Port, Port, Bow, Beam,6,8, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
171.7,0.37, Answer,0,78.7,0,0,2,0,3,17,18,0,0,0,1.7,15,2,19,1,0, MV Serius Star_30, MV Serius Star_51, Port, Stbd, Bow, Bow,5000,7612,24,20,339,332, is CBDR, is CBDR,5000,0, Port, Stbd, Bow, Quarter,6,8, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 20 deg, 20 deg, hold speed, hold speed, , 
202.9,0.39, Answer,0,42.7,0,2,2,0,0,0,0,0,0,0,1.7,15,2,19,1,0, High Life_92, TurboCat_109, Port, Port, Bow, Bow,5000,13532,180,357,180,1, has strong left, is CBDR,5000,0, Port, Stbd, Bow, Beam,6,8, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
246.3,0.43, Answer,0,70.7,0,0,2,1.7,0,0,18,0,5,5,2,15,2,19,1,0, Tractor Tug 50_164, Tractor Tug 50_169, Port, Stbd, Bow, Bow,5000,5508,307,18,28,308, is CBDR, is CBDR,5000,0, Stbd, Stbd, Quarter, Quarter,6,7, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 10 deg, 10 deg, hold speed, hold speed, , 
282.4,0.44, Answer,0,29,0,2,2,0,0,0,0,0,5,0,2,15,2,0,1,0, Tractor Tug 200_220, APLB_231, Port, Port, Bow, Bow,5000,9048,180,358,180,1, has strong left, is CBDR,5000,0, Port, Port, Bow, Beam,6,7, Head On, Head On, Giveway, Giveway, hold course and speed, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
330.8,0.48, Answer,0,71,2,2,0,0,3,20,0,0,5,0,2,15,2,19,1,0, SidecarSally_297, SidecarSally_297, Port, Port, Bow, Stern,10000,1042,180,180,0,1, has strong left, is CBDR,5000,44, Port, Port, Bow, Beam,8,7, Overtaking, Overtaking, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
379.4,0.5, Answer,0,41,0,0,2,0,0,0,0,0,0,0,2,15,2,19,1,0, Tractor Tug 200_345, TurboCat_365, Port, Stbd, Bow, Bow,5000,11849,180,15,180,351, has strong left, is CBDR,5000,0, Port, Stbd, Bow, Beam,6,7, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 10 deg, 10 deg, hold speed, hold speed, , 
