Time, Difficulty, EventType, Latency, Score, TargetVesselTypescore, TargetIsPortStarboardscore, TargetIsBowBeamSternscore, TargetRangescore, TargetBearingscore, TargetAnglescore, TargetBearingDriftscore, TargetCPARangescore, TargetCPAIsPortStarboardscore, TargetCPAIsBowBeamSternscore, TargetCPATimescore, RuleTypescore, StandOnGiveWayscore, Actionscore, Degreesscore, Speedscore, TargetVesselTypechosen, TargetVesselTypecorrect, TargetIsPortStarboardchosen, TargetIsPortStarboardcorrect, TargetIsBowBeamSternchosen, TargetIsBowBeamSterncorrect, TargetRangechosen, TargetRangecorrect, TargetBearingchosen, TargetBearingcorrect, TargetAnglechosen, TargetAnglecorrect, TargetBearingDriftchosen, TargetBearingDriftcorrect, TargetCPARangechosen, TargetCPARangecorrect, TargetCPAIsPortStarboardchosen, TargetCPAIsPortStarboardcorrect, TargetCPAIsBowBeamSternchosen, TargetCPAIsBowBeamSterncorrect, TargetCPATimechosen, TargetCPATimecorrect, RuleTypechosen, RuleTypecorrect, StandOnGiveWaychosen, StandOnGiveWaycorrect, Actionchosen, Actioncorrect, Degreeschosen, Degreescorrect, Speedchosen, Speedcorrect, ,
14.8,0.21, Answer,0,10,0,2,2,0,0,0,0,0,5,0,0,0,0,0,1,0, Warship, TugWithTow, Port, Port, Bow, Bow,5000,7666,180,359,180,0, has strong left, is CBDR,5000,0, Port, Port, Bow, Beam,12,9, Crossing, Head On, Stand on, Giveway, hold course and speed, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
41.5,0.23, Answer,0,61,2,0,2,0,0,0,18,0,0,0,2,15,2,19,1,0, Merchant, Merchant, Port, Stbd, Bow, Bow,5000,8024,180,25,180,325, is CBDR, is CBDR,5000,0, Port, Stbd, Bow, Quarter,9,9, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 20 deg, 20 deg, hold speed, hold speed, , 
66.6,0.27, Answer,0,81,2,0,2,0,0,20,18,0,0,0,2,15,2,19,1,0, Merchant, Merchant, Port, Stbd, Bow, Bow,5000,3583,180,0,180,179, is CBDR, is CBDR,5000,3, Port, Stbd, Bow, Beam,9,8, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
95.2,0.29, Answer,0,46,2,0,2,0,0,0,0,0,5,0,0,15,2,19,1,0, TugWithTow, TugWithTow, Port, Stbd, Bow, Bow,5000,7557,180,0,180,358, has strong left, is CBDR,5000,0, Port, Port, Bow, Beam,12,8, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
129.2,0.33, Answer,0,82,2,0,0,0,3,20,18,0,0,0,2,15,2,19,1,0, Merchant, Merchant, Port, Stbd, Bow, Stern,5000,1185,180,179,360,359, is CBDR, is CBDR,5000,61, Port, Stbd, Bow, Beam,8,8, Overtaking, Overtaking, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
161.5,0.36, Answer,0,89,2,2,0,0,3,20,18,0,5,0,2,15,2,19,1,0, Grand Princess_57, Grand Princess_57, Port, Port, Bow, Stern,5000,835,180,180,0,0, is CBDR, is CBDR,5000,21, Port, Port, Bow, Beam,8,8, Overtaking, Overtaking, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
194.1,0.43, Answer,0,87,2,2,0,0,3,20,18,0,5,0,2,15,0,19,1,0, Pusher Pup_115, Pusher Pup_115, Port, Port, Bow, Stern,5000,476,180,180,0,0, is CBDR, is CBDR,5000,10, Port, Port, Bow, Beam,8,8, Overtaking, Overtaking, Stand on, In Extermis, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
248.4,0.46, Answer,0,60.7,0,0,2,1.7,0,0,18,0,0,0,2,15,2,19,1,0, Smit Houston_169, Smit Houston_177, Port, Stbd, Bow, Bow,5000,5991,180,22,180,321, is CBDR, is CBDR,5000,0, Port, Stbd, Bow, Quarter,8,7, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 20 deg, 20 deg, hold speed, hold speed, , 
291.2,0.49, Answer,0,70,2,2,0,0,3,20,18,0,5,0,2,15,2,0,1,0, CMA CGM Norsk_243, CMA CGM Norsk_243, Port, Port, Bow, Stern,5000,797,180,180,0,1, is CBDR, is CBDR,5000,96, Port, Port, Bow, Beam,7,7, Overtaking, Overtaking, Stand on, Stand on, turn to starboard, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
353.6,0.54, Answer,0,84,0,0,2,2,3,20,18,0,0,0,2,15,2,19,1,0, Tractor Tug 200_291, Tractor Tug 50_313, Port, Stbd, Bow, Bow,5000,5441,10,9,338,336, is CBDR, is CBDR,5000,0, Port, Stbd, Bow, Beam,7,7, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
