Time, Difficulty, EventType, Latency, Score, TargetVesselTypescore, TargetIsPortStarboardscore, TargetIsBowBeamSternscore, TargetRangescore, TargetBearingscore, TargetAnglescore, TargetBearingDriftscore, TargetCPARangescore, TargetCPAIsPortStarboardscore, TargetCPAIsBowBeamSternscore, TargetCPATimescore, RuleTypescore, StandOnGiveWayscore, Actionscore, Degreesscore, Speedscore, TargetVesselTypechosen, TargetVesselTypecorrect, TargetIsPortStarboardchosen, TargetIsPortStarboardcorrect, TargetIsBowBeamSternchosen, TargetIsBowBeamSterncorrect, TargetRangechosen, TargetRangecorrect, TargetBearingchosen, TargetBearingcorrect, TargetAnglechosen, TargetAnglecorrect, TargetBearingDriftchosen, TargetBearingDriftcorrect, TargetCPARangechosen, TargetCPARangecorrect, TargetCPAIsPortStarboardchosen, TargetCPAIsPortStarboardcorrect, TargetCPAIsBowBeamSternchosen, TargetCPAIsBowBeamSterncorrect, TargetCPATimechosen, TargetCPATimecorrect, RuleTypechosen, RuleTypecorrect, StandOnGiveWaychosen, StandOnGiveWaycorrect, Actionchosen, Actioncorrect, Degreeschosen, Degreescorrect, Speedchosen, Speedcorrect, ,
15.4,0.21, Answer,0,10,0,2,2,0,0,0,0,0,5,0,0,0,0,0,1,0, Warship, TugWithTow, Port, Port, Bow, Bow,5000,7658,180,359,180,0, has strong left, is CBDR,5000,0, Port, Port, Bow, Beam,6,9, Crossing, Head On, Stand on, Giveway, hold course and speed, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
41.2,0.23, Answer,0,41,2,0,2,0,0,0,0,0,0,0,0,15,2,19,1,0, Merchant, Merchant, Port, Stbd, Bow, Bow,5000,8081,180,25,180,325, has strong left, is CBDR,5000,0, Port, Stbd, Bow, Quarter,6,9, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 20 deg, 20 deg, hold speed, hold speed, , 
64.3,0.27, Answer,0,79,2,0,2,0,0,20,18,0,0,0,0,15,2,19,1,0, Merchant, Merchant, Port, Stbd, Bow, Bow,5000,3639,180,0,180,179, is CBDR, is CBDR,5000,3, Port, Stbd, Bow, Beam,12,9, Overtaking, Overtaking, Giveway, Giveway, turn to starboard, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
89,0.3, Answer,0,66,2,0,2,0,0,0,18,0,5,0,2,15,2,19,1,0, TugWithTow, TugWithTow, Port, Stbd, Bow, Bow,5000,7719,180,0,180,358, is CBDR, is CBDR,5000,0, Port, Port, Bow, Beam,9,8, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 0 deg, 0 deg, hold speed, hold speed, , 
132.1,0.35, Answer,0,94,2,2,2,0,3,20,18,0,5,5,0,15,2,19,1,0, Merchant, Merchant, Stbd, Stbd, Stern, Stern,10000,1173,180,179,360,359, is CBDR, is CBDR,5000,61, Stbd, Stbd, Beam, Beam,12,8, Overtaking, Overtaking, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
202.9,0.39, Answer,0,42.7,0,2,2,0,0,0,0,0,0,0,1.7,15,2,19,1,0, High Life_92, TurboCat_109, Port, Port, Bow, Bow,5000,13532,180,357,180,1, has strong left, is CBDR,5000,0, Port, Stbd, Bow, Beam,6,8, Head On, Head On, Giveway, Giveway, turn to starboard, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
246.3,0.43, Answer,0,70.7,0,0,2,1.7,0,0,18,0,5,5,2,15,2,19,1,0, Tractor Tug 50_164, Tractor Tug 50_169, Port, Stbd, Bow, Bow,5000,5508,307,18,28,308, is CBDR, is CBDR,5000,0, Stbd, Stbd, Quarter, Quarter,6,7, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 10 deg, 10 deg, hold speed, hold speed, , 
282.4,0.44, Answer,0,29,0,2,2,0,0,0,0,0,5,0,2,15,2,0,1,0, Tractor Tug 200_220, APLB_231, Port, Port, Bow, Bow,5000,9048,180,358,180,1, has strong left, is CBDR,5000,0, Port, Port, Bow, Beam,6,7, Head On, Head On, Giveway, Giveway, hold course and speed, turn to starboard, 90 deg, 90 deg, hold speed, hold speed, , 
330.8,0.48, Answer,0,71,2,2,0,0,3,20,0,0,5,0,2,15,2,19,1,0, SidecarSally_297, SidecarSally_297, Port, Port, Bow, Stern,10000,1042,180,180,0,1, has strong left, is CBDR,5000,44, Port, Port, Bow, Beam,8,7, Overtaking, Overtaking, Stand on, Stand on, hold course and speed, hold course and speed, 90 deg, 90 deg, hold speed, hold speed, , 
379.4,0.5, Answer,0,41,0,0,2,0,0,0,0,0,0,0,2,15,2,19,1,0, Tractor Tug 200_345, TurboCat_365, Port, Stbd, Bow, Bow,5000,11849,180,15,180,351, has strong left, is CBDR,5000,0, Port, Stbd, Bow, Beam,6,7, Crossing, Crossing, Giveway, Giveway, turn to starboard, turn to starboard, 10 deg, 10 deg, hold speed, hold speed, , 
